Merchant Id,Transaction ID,Subscription ID,Transaction Type,Transaction Status,Escrow Status,Created Datetime,Created Timezone,Settlement Date,Disbursement Date,Merchant Account,Currency ISO Code,Amount Authorized,Amount Submitted For Settlement,Service Fee,Tax Amount,Tax Exempt,Purchase Order Number,Order ID,Descriptor Name,Descriptor Phone,Descriptor URL,Refunded Transaction ID,Payment Instrument Type,Card Type,Cardholder Name,First Six of Credit Card,Last Four of Credit Card,Credit Card Number,Expiration Date,Credit Card Customer Location,Customer ID,Payment Method Token,Credit Card Unique Identifier,Customer First Name,Customer Last Name,Customer Company,Customer Email,Customer Phone,Customer Fax,Customer Website,Billing Address ID,Billing First Name,Billing Last Name,Billing Company,Billing Street Address,Billing Extended Address,Billing City (Locality),Billing State/Province (Region),Billing Postal Code,Billing Country,Shipping Address ID,Shipping First Name,Shipping Last Name,Shipping Company,Shipping Street Address,Shipping Extended Address,Shipping City (Locality),Shipping State/Province (Region),Shipping Postal Code,Shipping Country,User,IP Address,Creating Using Token,Transaction Source,Authorization Code,Processor Response Code,Processor Response Text,Gateway Rejection Reason,Postal Code Response Code,Street Address Response Code,AVS Response Text,CVV Response Code,CVV Response Text,Settlement Amount,Settlement Currency ISO Code,Settlement Currency Exchange Rate,Fraud Detected,Disputed Date,Authorized Transaction ID,Country of Issuance,Issuing Bank,Durbin Regulated,Commercial,Prepaid,Payroll,Healthcare,Affluent Category,Debit,Product ID,PayPal Payer Email,PayPal Payment ID,PayPal Authorization ID,PayPal Debug ID,PayPal Capture ID,PayPal Refund ID,PayPal Custom Field,PayPal Payer ID,PayPal Payer First Name,PayPal Payer Last Name,PayPal Seller Protection Status,PayPal Transaction Fee Amount,PayPal Transaction Fee Currency ISO Code,PayPal Refund From Transaction Fee Amount,PayPal Refund From Transaction Fee Currency ISO Code,PayPal Payee Email,PayPal Payee ID,Apple Pay Card Last Four,Apple Pay Card Expiration Month,Apple Pay Card Expiration Year,Apple Pay Cardholder Name,Android Pay Source Card Last Four,Android Pay Source Card Type,Source Card Last Four,Acquirer Reference Number,
abc123,1xcbvrpy,,sale,settled,,##########,CST,12/11/18,12/12/18,MACKENZIECONTRACTORSINC_instant,USD,1.29,1.29,,,FALSE,,IN-0014,,,,,Credit Card,Visa,X,1234,45,##########,20-Nov,US,,,,Yr,sK,,x@outlook.com,,,,,,,X,X,,X,NY,X,United States of America,,,,,,,,,,,MACKENZIEINC,192.237.212.164,No,API,111144,1000,Approved,,M,M,Street Address matches (M). Postal Code matches (M).,M,Matches (M).,1.29,USD,1,,##########,,USA,U.S. Bank National Association-Credit,No,No,No,No,No,Unknown,No,G,,,,,,,,,,,,,,,,,,,,,,,,,,
abc123,2nk2hgjy,,sale,settled,,##########,CST,12/13/18,12/14/18,MACKENZIECONTRACTORSINC_instant,USD,8.41,8.41,,,FALSE,,IN-0021,,,,,Credit Card,MasterCard,X,1234,2397,##########,21-Mar,US,,,,OS,oF,,x@outlook.com,,,,,,,X,X,,X,nc,X,United States of America,,,,,,,,,,,MACKENZIEINC,192.237.212.164,No,API,08702P,1000,Approved,,M,M,Street Address matches (M). Postal Code matches (M).,M,Matches (M).,8.41,USD,1,,##########,,USA,CITIBANK N.A.,No,No,No,No,No,Unknown,No,MCW,,,,,,,,,,,,,,,,,,,,,,,,,,
abc123,47wjpd20,,sale,settled,,##########,CST,12/11/18,12/12/18,MACKENZIECONTRACTORSINC_instant,USD,3.67,3.67,,,FALSE,,IN-0015,,,,,Credit Card,MasterCard,X,1234,3446,##########,20-Nov,US,,,,DI,xQ,,x@outlook.com,,,,,,,X,X,,X,nc,X,United States of America,,,,,,,,,,,MACKENZIEINC,192.237.212.164,No,API,29651P,1000,Approved,,M,M,Street Address matches (M). Postal Code matches (M).,M,Matches (M).,3.67,USD,1,,1/7/19 7:05,,USA,CITIBANK N.A.,No,No,No,No,No,Unknown,No,MCW,,,,,,,,,,,,,,,,,,,,,,,,,,
xyz234,5013smqh,,sale,settled,,##########,CST,12/13/18,12/14/18,MACKENZIECONTRACTORSINC_instant,USD,1.18,1.18,,,FALSE,,IN-0022,,,,,Credit Card,Visa,X,1234,8310,##########,19-Oct,US,,,,FX,NT,,x@outlook.com,,,,,,,X,X,,X,nc,X,United States of America,,,,,,,,,,,MACKENZIEINC,192.237.212.164,No,API,113171,1000,Approved,,M,N,Street Address does not match (N). Postal Code matches (M).,M,Matches (M).,1.18,USD,1,,1/3/19 7:47,,USA,U.S. Bank National Association-Credit,No,No,No,No,No,Unknown,No,G,,,,,,,,,,,,,,,,,,,,,,,,,,
xyz234,5yxx6jy9,,sale,settled,,##########,CST,12/3/18,12/4/18,MACKENZIECONTRACTORSINC_instant,USD,9.91,9.91,,,FALSE,,IN-0003,,,,,Credit Card,Visa,X,1234,7701,##########,21-Jan,US,,,,RV,aT,,x@outlook.com,,,,,,,X,X,,X,oh,X,United States of America,,,,,,,,,,,MACKENZIEINC,192.237.212.164,No,API,113012,1000,Approved,,M,M,Street Address matches (M). Postal Code matches (M).,M,Matches (M).,9.91,USD,1,,##########,,USA,U.S. Bank National Association-Credit,No,No,No,No,No,Unknown,No,G,,,,,,,,,,,,,,,,,,,,,,,,,,
xyz234,6kn2jyq6,,sale,processor_declined,,##########,CST,,,MACKENZIECONTRACTORSINC_instant,USD,8.03,,,,FALSE,,IN-0020,,,,,Credit Card,MasterCard,X,1234,6527,##########,19-Aug,US,,,,bm,Dw,,x@outlook.com,,,,,,,X,X,,X,nj,X,United States of America,,,,,,,,,,,MACKENZIEINC,192.237.212.164,No,API,,2046,Declined,,M,N,Street Address does not match (N). Postal Code matches (M).,M,Matches (M).,0,,,,,,USA,CITIBANK N.A.,No,No,No,No,No,Unknown,No,MCW,,,,,,,,,,,,,,,,,,,,,,,,,,
abc225,7b5gcaqa,,sale,settled,,##########,CST,12/4/18,12/5/18,MACKENZIECONTRACTORSINC_instant,USD,8.60,8.60,,,FALSE,,IN-0006,,,,,Credit Card,MasterCard,X,1234,3289,##########,21-Jul,US,,,,xV,SY,,x@outlook.com,,,,,,,X,X,,X,NC,X,United States of America,,,,,,,,,,,MACKENZIEINC,192.237.212.164,No,API,17627P,1000,Approved,,M,M,Street Address matches (M). Postal Code matches (M).,M,Matches (M).,8.60,USD,1,,##########,,USA,CITIBANK N.A.,No,No,No,No,No,Unknown,No,MCW,,,,,,,,,,,,,,,,,,,,,,,,,,
abc225,7nj2vdtb,,sale,settled,,##########,CST,12/10/18,12/11/18,MACKENZIECONTRACTORSINC_instant,USD,1.42,1.42,,,FALSE,,IN-0012,,,,,Credit Card,MasterCard,X,1234,143,##########,19-Mar,US,,,,Vy,Jn,,x@outlook.com,,,,,,,X,X,,X,tx,X,United States of America,,,,,,,,,,,MACKENZIEINC,192.237.212.164,No,API,05496P,1000,Approved,,M,M,Street Address matches (M). Postal Code matches (M).,M,Matches (M).,1.42,USD,1,,##########,,USA,CITIBANK N.A.,No,No,No,No,No,Unknown,No,MCW,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
